id,workflow_id,workflow_name,run_mode,run_state,executed_by,started_at,duration_units,context_passing,flow_source,source_file
nightly-governance-validation-2026-04-27T03:00:38.929Z,nightly-governance-validation,Nightly Governance Validation,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-04-27T03:00:38.929Z,23,sequential,,reports/workflow-runs/2026-04-27-nightly-governance-validation-dry-run-run.json
nightly-governance-validation-2026-04-27T03:01:00.817Z,nightly-governance-validation,Nightly Governance Validation,execute,Completed,scripts/run-workflow.ts,2026-04-27T03:01:00.817Z,23,sequential,,reports/workflow-runs/2026-04-27-nightly-governance-validation-execute-run.json
nightly-governance-validation-2026-04-27T02:57:21.762Z,nightly-governance-validation,Nightly Governance Validation,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-04-27T02:57:21.762Z,23,sequential,,reports/workflow-runs/2026-04-27-nightly-governance-validation-run.json
zynx-developer-mode-build-2026-04-29T17:33:27.931Z,zynx-developer-mode-build,Zynx Developer Mode Build,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-04-29T17:33:27.931Z,21,sequential,,reports/workflow-runs/2026-04-29-zynx-developer-mode-build-dry-run-run.json
nightly-governance-validation-2026-04-30T11:39:19.167Z,nightly-governance-validation,Nightly Governance Validation,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-04-30T11:39:19.167Z,23,sequential,workflow.flow,reports/workflow-runs/2026-04-30-nightly-governance-validation-dry-run-run.json
zynx-developer-mode-build-2026-04-30T02:36:23.289Z,zynx-developer-mode-build,Zynx Developer Mode Build,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-04-30T02:36:23.289Z,21,sequential,,reports/workflow-runs/2026-04-30-zynx-developer-mode-build-dry-run-run.json
zynx-developer-mode-build-2026-04-30T02:36:34.971Z,zynx-developer-mode-build,Zynx Developer Mode Build,execute,Completed,scripts/run-workflow.ts,2026-04-30T02:36:34.971Z,21,sequential,,reports/workflow-runs/2026-04-30-zynx-developer-mode-build-execute-run.json
nightly-governance-validation-2026-05-01T10:16:55.311Z,nightly-governance-validation,Nightly Governance Validation,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-05-01T10:16:55.311Z,23,sequential,workflow.flow,reports/workflow-runs/2026-05-01-nightly-governance-validation-dry-run-run.json
nightly-governance-validation-2026-05-01T09:12:09.362Z,nightly-governance-validation,Nightly Governance Validation,execute,Completed,scripts/run-workflow.ts,2026-05-01T09:12:09.362Z,23,sequential,workflow.flow,reports/workflow-runs/2026-05-01-nightly-governance-validation-execute-run.json
zynx-developer-mode-build-2026-05-01T09:11:30.994Z,zynx-developer-mode-build,Zynx Developer Mode Build,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-05-01T09:11:30.994Z,21,sequential,generated-from-agents,reports/workflow-runs/2026-05-01-zynx-developer-mode-build-dry-run-run.json
zynx-developer-mode-build-2026-05-01T09:22:40.124Z,zynx-developer-mode-build,Zynx Developer Mode Build,execute,Completed,scripts/run-workflow.ts,2026-05-01T09:22:40.124Z,21,sequential,generated-from-agents,reports/workflow-runs/2026-05-01-zynx-developer-mode-build-execute-run.json
auto-data-migra-2026-05-02T16:26:55.756Z,auto-data-migra,Auto_data-migra,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-05-02T16:26:55.756Z,11,sequential,workflow.flow,reports/workflow-runs/2026-05-02-auto-data-migra-dry-run-run.json
auto-data-migra-2026-05-02T16:29:41.153Z,auto-data-migra,Auto_data-migra,execute,Completed,scripts/run-workflow.ts,2026-05-02T16:29:41.153Z,11,sequential,workflow.flow,reports/workflow-runs/2026-05-02-auto-data-migra-execute-run.json
nightly-governance-validation-2026-05-03T05:09:11.033Z,nightly-governance-validation,Nightly Governance Validation,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-05-03T05:09:11.033Z,23,sequential,workflow.flow,reports/workflow-runs/2026-05-03-nightly-governance-validation-dry-run-run.json
nightly-governance-validation-2026-05-12T17:29:49.553Z,nightly-governance-validation,Nightly Governance Validation,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-05-12T17:29:49.553Z,23,sequential,workflow.flow,reports/workflow-runs/2026-05-12-nightly-governance-validation-dry-run-run.json
zynx-developer-mode-build-2026-05-12T17:31:01.656Z,zynx-developer-mode-build,Zynx Developer Mode Build,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-05-12T17:31:01.656Z,21,sequential,generated-from-agents,reports/workflow-runs/2026-05-12-zynx-developer-mode-build-dry-run-run.json
zynx-developer-mode-build-2026-05-12T17:41:49.903Z,zynx-developer-mode-build,Zynx Developer Mode Build,execute,Completed,scripts/run-workflow.ts,2026-05-12T17:41:49.903Z,21,sequential,generated-from-agents,reports/workflow-runs/2026-05-12-zynx-developer-mode-build-execute-run.json
nightly-governance-validation-2026-05-15T11:44:06.113Z,nightly-governance-validation,Nightly Governance Validation,dry-run,CompletedDryRun,scripts/run-workflow.ts,2026-05-15T11:44:06.113Z,23,sequential,workflow.flow,reports/workflow-runs/2026-05-15-nightly-governance-validation-dry-run-run.json
